id,name,rarity,description,cost,tags,damage,damageType,attunement,stackable,weightEach,image,shape,container,containerRows,containerCols
1_ammunition,+1 Ammunition,uncommon,"You have a +1 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical. This ammunition is typically found or sold in quantities of ten or twenty pieces.",,ammunition|generic_variant,,,,,,,,,,
1_armor,+1 Armor,rare,You have a +1 bonus to AC while wearing this armor.,,generic_variant,,,,,,,,,,
1_shield,+1 Shield (*),uncommon,,,generic_variant,,,,,,,,,,
1_weapon,+1 Weapon,uncommon,You have a +1 bonus to attack and damage rolls made with this magic weapon.,,generic_variant,,,,,,,,,,
2_ammunition,+2 Ammunition,rare,"You have a +2 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical. This ammunition is typically found or sold in quantities of ten or twenty pieces.",,ammunition|generic_variant,,,,,,,,,,
2_armor,+2 Armor,very_rare,You have a +2 bonus to AC while wearing this armor.,,generic_variant,,,,,,,,,,
2_shield,+2 Shield (*),rare,,,generic_variant,,,,,,,,,,
2_weapon,+2 Weapon,rare,You have a +2 bonus to attack and damage rolls made with this magic weapon.,,generic_variant,,,,,,,,,,
3_ammunition,+3 Ammunition,very_rare,"You have a +3 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical. This ammunition is typically found or sold in quantities of ten or twenty pieces.",,ammunition|generic_variant,,,,,,,,,,
3_armor,+3 Armor,legendary,You have a +3 bonus to AC while wearing this armor.,,generic_variant,,,,,,,,,,
3_shield,+3 Shield (*),very_rare,,,generic_variant,,,,,,,,,,
3_weapon,+3 Weapon,very_rare,You have a +3 bonus to attack and damage rolls made with this magic weapon.,,generic_variant,,,,,,,,,,
adamantine_armor,Adamantine Armor,uncommon,"This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any Critical Hit against you becomes a normal hit.",,generic_variant,,,,,,,,,,
adamantine_weapon,Adamantine Weapon,uncommon,"This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit.",,generic_variant,,,,,,,,,,
ammunition_of_slaying,Ammunition of Slaying,very_rare,"This magic ammunition is meant to slay creatures of a particular type, which the DM chooses or determines randomly by rolling on the table below. If a creature of that type takes damage from the ammunition, the creature makes a DC 17 Constitution saving throw, taking an extra 6d10 Force damage on a failed save or half as much extra damage on a successful one. After dealing its extra damage to a creature, the ammunition becomes nonmagical.",,ammunition|generic_variant,,,,,,,,,,
armor_of_acid_resistance,Armor of Acid Resistance,rare,You have Resistance to Acid damage while you wear this armor.,,generic_variant,,,true,,,,,,,
armor_of_cold_resistance,Armor of Cold Resistance,rare,You have Resistance to Cold damage while you wear this armor.,,generic_variant,,,true,,,,,,,
armor_of_fire_resistance,Armor of Fire Resistance,rare,You have Resistance to Fire damage while you wear this armor.,,generic_variant,,,true,,,,,,,
armor_of_force_resistance,Armor of Force Resistance,rare,You have Resistance to Force damage while you wear this armor.,,generic_variant,,,true,,,,,,,
armor_of_gleaming,Armor of Gleaming,common,This armor never gets dirty.,,generic_variant,,,,,,,,,,
armor_of_lightning_resistance,Armor of Lightning Resistance,rare,You have Resistance to Lightning damage while you wear this armor.,,generic_variant,,,true,,,,,,,
armor_of_necrotic_resistance,Armor of Necrotic Resistance,rare,You have Resistance to Necrotic damage while you wear this armor.,,generic_variant,,,true,,,,,,,
armor_of_poison_resistance,Armor of Poison Resistance,rare,You have Resistance to Poison damage while you wear this armor.,,generic_variant,,,true,,,,,,,
armor_of_psychic_resistance,Armor of Psychic Resistance,rare,You have Resistance to Psychic damage while you wear this armor.,,generic_variant,,,true,,,,,,,
armor_of_radiant_resistance,Armor of Radiant Resistance,rare,You have Resistance to Radiant damage while you wear this armor.,,generic_variant,,,true,,,,,,,
armor_of_resistance,Armor of Resistance,rare,You have Resistance to one type of damage while you wear this armor. The DM chooses the type or determines it randomly by rolling on the following table.,,generic_variant,,,true,,,,,,,
armor_of_thunder_resistance,Armor of Thunder Resistance,rare,You have Resistance to Thunder damage while you wear this armor.,,generic_variant,,,true,,,,,,,
armor_of_vulnerability,Armor of Vulnerability,rare,,,generic_variant,,,true,,,,,,,
armor_of_vulnerability_bludgeoning,Armor of Vulnerability (Bludgeoning),rare,"While wearing this armor, you have Resistance to Bludgeoning damage. Curse. This armor is cursed, a fact that is revealed only when the Identify spell is cast on the armor or you attune to it.",,generic_variant,,,true,,,,,,,
armor_of_vulnerability_piercing,Armor of Vulnerability (Piercing),rare,"While wearing this armor, you have Resistance to Piercing damage. Curse. This armor is cursed, a fact that is revealed only when the Identify spell is cast on the armor or you attune to it.",,generic_variant,,,true,,,,,,,
armor_of_vulnerability_slashing,Armor of Vulnerability (Slashing),rare,"While wearing this armor, you have Resistance to Slashing damage. Curse. This armor is cursed, a fact that is revealed only when the Identify spell is cast on the armor or you attune to it.",,generic_variant,,,true,,,,,,,
berserker_axe,Berserker Axe,rare,"You gain a +1 bonus to attack rolls and damage rolls made with this magic weapon. In addition, while you are attuned to this weapon, your Hit Point maximum increases by 1 for each level you have attained. Curse.",,generic_variant,,,true,,,,,,,
cast_off_armor,Cast-Off Armor,common,You can doff this armor as a Magic action.,,generic_variant,,,,,,,,,,
dancing_sword,Dancing Sword,very_rare,"You can take a Bonus Action to toss this magic weapon into the air. When you do so, the weapon begins to hover, flies up to 30 feet, and attacks one creature of your choice within 5 feet of itself. The weapon uses your attack roll and adds your ability modifier to damage rolls.",,generic_variant,,,true,,,,,,,
defender,Defender,legendary,"You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon. The first time you attack with the weapon on each of your turns, you can transfer some or all of the weapon's bonus to your Armor Class. For example, you could reduce the bonus to your attack rolls and damage rolls to +1 and gain a +2 bonus to Armor Class.",,generic_variant,,,true,,,,,,,
demon_armor,Demon Armor,very_rare,"While wearing this armor, you gain a +1 bonus to Armor Class, and you know Abyssal. In addition, the armor's clawed gauntlets allow your Unarmed Strikes to deal 1d8 Slashing damage instead of the usual Bludgeoning damage, and you gain a +1 bonus to the attack and damage rolls of your Unarmed Strikes. Curse.",,generic_variant,,,true,,,,,,,
dragon_slayer,Dragon Slayer,rare,You gain a +1 bonus to attack rolls and damage rolls made with this magic weapon. The weapon deals an extra 3d6 damage of the weapon's type if the target is a Dragon.,,generic_variant,,,,,,,,,,
dwarven_plate,Dwarven Plate,very_rare,"While wearing this armor, you gain a +2 bonus to Armor Class. In addition, if an effect moves you against your will along the ground, you can take a Reaction to reduce the distance you are moved by up to 10 feet.",,generic_variant,,,,,,,,,,
efreeti_chain,Efreeti Chain,legendary,"While wearing this armor, you gain a +3 bonus to Armor Class, you have Immunity to Fire damage, and you know Primordial. In addition, you can stand on and move across molten rock as if it were solid ground.",,generic_variant,,,true,,,,,,,
